"","time","lwp","cth","trel"
"610",42040,3.82676577568054,2650,-0.322222222222222
"611",42044,3.82676577568054,2650,-0.321111111111111
"612",42048,3.82676577568054,2650,-0.32
"613",42052,7.4509916305542,2680,-0.318888888888889
"614",42056,7.4509916305542,2680,-0.317777777777778
"615",42060,7.4509916305542,2680,-0.316666666666667
"616",42064,7.4509916305542,2680,-0.315555555555556
"617",42068,7.4509916305542,2680,-0.314444444444444
"618",42072,11.4417867660522,2650,-0.313333333333333
"619",42076,11.4417867660522,2500,-0.312222222222222
"620",42080,11.4417867660522,2470,-0.311111111111111
"621",42084,11.4417867660522,2470,-0.31
"622",42088,11.4417867660522,2470,-0.308888888888889
"623",42092,1.42345559597015,2440,-0.307777777777778
"624",42096,1.42345559597015,2440,-0.306666666666667
"625",42100,1.42345559597015,2440,-0.305555555555556
"626",42104,1.42345559597015,2410,-0.304444444444444
"627",42108,1.42345559597015,2410,-0.303333333333333
"628",42112,9.13467025756836,2410,-0.302222222222222
"629",42116,9.13467025756836,2440,-0.301111111111111
"630",42120,9.13467025756836,2440,-0.3
"631",42124,9.13467025756836,2440,-0.298888888888889
"632",42128,9.13467025756836,2440,-0.297777777777778
"633",42132,8.44697952270508,2440,-0.296666666666667
"634",42136,8.44697952270508,2440,-0.295555555555556
"635",42140,8.44697952270508,2410,-0.294444444444444
"636",42144,8.44697952270508,2410,-0.293333333333333
"637",42148,8.44697952270508,2410,-0.292222222222222
"638",42152,6.63702440261841,2410,-0.291111111111111
"639",42156,6.63702440261841,2410,-0.29
"640",42160,6.63702440261841,2410,-0.288888888888889
"641",42164,6.63702440261841,2410,-0.287777777777778
"642",42168,6.63702440261841,2410,-0.286666666666667
"643",42172,6.63702440261841,2440,-0.285555555555556
"644",42176,6.63702440261841,2440,-0.284444444444444
"645",42180,6.63702440261841,2440,-0.283333333333333
"646",42184,6.63702440261841,2440,-0.282222222222222
"647",42188,6.63702440261841,2440,-0.281111111111111
"648",42192,6.63702440261841,2410,-0.28
"649",42196,6.63702440261841,2440,-0.278888888888889
"650",42200,6.63702440261841,2410,-0.277777777777778
"651",42204,4.49004554748535,2410,-0.276666666666667
"652",42208,4.49004554748535,2410,-0.275555555555556
"653",42212,4.49004554748535,2410,-0.274444444444444
"654",42216,4.49004554748535,2410,-0.273333333333333
"655",42220,4.49004554748535,2410,-0.272222222222222
"656",42224,4.49004554748535,2410,-0.271111111111111
"657",42228,4.49004554748535,2410,-0.27
"658",42232,4.49004554748535,2380,-0.268888888888889
"659",42236,4.49004554748535,2380,-0.267777777777778
"660",42240,4.49004554748535,2380,-0.266666666666667
"661",42244,4.49004554748535,2380,-0.265555555555556
"662",42248,4.49004554748535,2380,-0.264444444444444
"663",42252,14.8755884170532,2380,-0.263333333333333
"664",42256,14.8755884170532,2380,-0.262222222222222
"665",42260,14.8755884170532,2380,-0.261111111111111
"666",42264,14.8755884170532,2380,-0.26
"667",42268,14.8755884170532,2380,-0.258888888888889
"668",42272,16.194995880127,2410,-0.257777777777778
"669",42276,16.194995880127,2410,-0.256666666666667
"670",42280,16.194995880127,2410,-0.255555555555556
"671",42284,16.194995880127,2440,-0.254444444444444
"672",42288,16.194995880127,2440,-0.253333333333333
"673",42292,21.6932754516602,2440,-0.252222222222222
"674",42296,21.6932754516602,2410,-0.251111111111111
"675",42300,21.6932754516602,2410,-0.25
"676",42304,21.6932754516602,2410,-0.248888888888889
"677",42308,21.6932754516602,2440,-0.247777777777778
"678",42312,11.1461019515991,2440,-0.246666666666667
"679",42316,11.1461019515991,2470,-0.245555555555556
"680",42320,11.1461019515991,2470,-0.244444444444444
