"","Nqc","Nd.low","Nd.high","Ni","Ni.low","Ni.high","tdiff","sim.time.new","sat"
"156",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"157",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"158",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"159",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"160",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"161",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"162",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"163",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"164",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"165",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"166",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"167",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"168",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"169",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"170",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"171",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"172",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"173",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"174",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"175",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"176",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"177",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"178",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"179",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"180",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"181",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"182",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"183",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"184",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"185",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"186",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"187",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"188",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"189",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"190",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"191",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"192",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"193",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"194",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"195",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"196",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"197",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"198",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
